particle,file,beam_mean_GeV,beam_rms_GeV,events,mean_ecal_over_beam,mean_hcal_over_beam,mean_total_over_beam,main_graph_used
gamma,outfile_gamma100MeV.root,0.1,2.28127e-09,1000,0.751921,0.00355278,0.755473,0
gamma,outfile_gamma300MeV.root,0.3,6.45239e-09,1000,0.643195,0.00528406,0.648479,0
gamma,outfile_gamma500MeV.root,0.5,1.74732e-08,1000,0.585322,0.00640978,0.591732,0
gamma,outfile_gamma700MeV.root,0.7,1.49012e-08,1000,0.543121,0.00713675,0.550258,0
gamma,outfile_gamma900MeV.root,0.9,3.332e-08,1000,0.508747,0.00798885,0.516736,0
gamma,outfile_gamma1GeV.root,1,3.65002e-08,1000,0.494477,0.00819346,0.502671,1
gamma,outfile_gamma3GeV.root,3,1.1151e-07,1000,0.365117,0.0108368,0.375953,1
gamma,outfile_gamma5GeV.root,5,2.30848e-07,1000,0.324537,0.0117078,0.336245,1
gamma,outfile_gamma7GeV.root,7,0,1000,0.286093,0.0125879,0.298681,1
gamma,outfile_gamma9GeV.root,9,6.41962e-07,1000,0.259493,0.0132876,0.27278,1
gamma,outfile_gamma10GeV.root,10,3.76973e-07,1000,0.248182,0.0134977,0.26168,1
gamma,outfile_gamma20GeV.root,20,8.92081e-07,1000,0.186959,0.0149989,0.201958,1
gamma,outfile_gamma30GeV.root,30,1.01152e-06,1000,0.16501,0.0155781,0.180588,1
gamma,outfile_gamma40GeV.root,40,2.38419e-06,1000,0.148146,0.0160397,0.164186,1
neutron,outfile_neutron1.root,10.044,4.29815e-07,1000,0.043961,0.0121078,0.0560688,0
neutron,outfile_neutron2.root,20.0221,4.12953e-07,1000,0.0392441,0.0133339,0.0525779,1
neutron,outfile_neutron3.root,50.0088,0,1000,0.0248636,0.0144828,0.0393464,1
neutron,outfile_neutron4.root,100.004,0,1000,0.0184573,0.0147049,0.0331622,1
neutron,outfile_neutron5.root,150.003,0,1000,0.0146557,0.0148322,0.0294879,1
neutron,outfile_neutron6.root,200.002,8.09219e-06,1000,0.0113237,0.0149226,0.0262462,1
neutron,outfile_neutron7.root,300.001,1.00927e-05,1000,0.0101117,0.0149607,0.0250724,1
