tag,particle,p0mode,method,weight,energy_GeV,nEvents,bias_mu,reso_sigma,bias_err,reso_err,fit_ok
main_p0free,gamma,p0free,0,0,1,1000,1.02421,0.146353,0.00470153,0.0033262,1
main_p0free,gamma,p0free,0,0,3,1000,1.01521,0.099286,0.00316031,0.00223581,1
main_p0free,gamma,p0free,0,0,5,1000,1.00906,0.0740113,0.00236904,0.00167603,1
main_p0free,gamma,p0free,0,0,7,1000,1.00469,0.0703004,0.00223882,0.00158389,1
main_p0free,gamma,p0free,0,0,9,1000,1.00665,0.063375,0.00205455,0.00120983,1
main_p0free,gamma,p0free,0,0,10,1000,1.00053,0.05855,0.00186178,0.00131714,1
main_p0free,gamma,p0free,0,0,20,1000,0.996385,0.044649,0.00141976,0.00100443,1
main_p0free,gamma,p0free,0,0,30,1000,0.996315,0.0358755,0.00114367,0.000809107,1
main_p0free,gamma,p0free,0,0,40,1000,0.998126,0.0313451,0.000997726,0.000705856,1
main_p0free,gamma,p0free,1,0,1,1000,1.06203,0.148738,0.0048005,0.00339624,1
main_p0free,gamma,p0free,1,0,3,1000,1.02013,0.100776,0.00321426,0.00227399,1
main_p0free,gamma,p0free,1,0,5,1000,1.0094,0.0749167,0.0023968,0.00169566,1
main_p0free,gamma,p0free,1,0,7,1000,1.00335,0.0693439,0.00221173,0.00156472,1
main_p0free,gamma,p0free,1,0,9,1000,1.004,0.0604996,0.00193259,0.00136724,1
main_p0free,gamma,p0free,1,0,10,1000,0.99924,0.0581956,0.00185145,0.00130984,1
main_p0free,gamma,p0free,1,0,20,1000,0.995411,0.0440754,0.00140222,0.000992024,1
main_p0free,gamma,p0free,1,0,30,1000,0.996426,0.0357236,0.00113767,0.000804864,1
main_p0free,gamma,p0free,1,0,40,1000,0.998348,0.0311496,0.000992006,0.00070181,1
main_p0free,gamma,p0free,2,0,1,1000,0.892955,0.150519,0.00483037,0.00341735,1
main_p0free,gamma,p0free,2,0,3,1000,0.988633,0.0994861,0.00317311,0.00224487,1
main_p0free,gamma,p0free,2,0,5,1000,1.0028,0.0738161,0.00236522,0.00167332,1
main_p0free,gamma,p0free,2,0,7,1000,1.00611,0.0699863,0.00223335,0.00158002,1
main_p0free,gamma,p0free,2,0,9,1000,1.01155,0.0616405,0.00196703,0.00139161,1
main_p0free,gamma,p0free,2,0,10,1000,1.00828,0.0592503,0.0018831,0.00133223,1
main_p0free,gamma,p0free,2,0,20,1000,1.00462,0.0440146,0.00140171,0.000991662,1
main_p0free,gamma,p0free,2,0,30,1000,0.999577,0.0351965,0.00112088,0.000792988,1
main_p0free,gamma,p0free,2,0,40,1000,0.993748,0.0299785,0.000953745,0.000674741,1
main_p0free,gamma,p0free,0,1,1,1000,1.06025,0.146676,0.00471193,0.00333356,1
main_p0free,gamma,p0free,0,1,3,1000,1.02763,0.0996303,0.00317127,0.00224356,1
main_p0free,gamma,p0free,0,1,5,1000,1.01684,0.07462,0.0023873,0.00168894,1
main_p0free,gamma,p0free,0,1,7,1000,1.01016,0.0707358,0.00225154,0.00159289,1
main_p0free,gamma,p0free,0,1,9,1000,1.00931,0.0610366,0.00194875,0.00137868,1
main_p0free,gamma,p0free,0,1,10,1000,1.00384,0.0584859,0.00186069,0.00131637,1
main_p0free,gamma,p0free,0,1,20,1000,0.997711,0.0447725,0.00142296,0.0010067,1
main_p0free,gamma,p0free,0,1,30,1000,0.996952,0.0360369,0.00114765,0.000811922,1
main_p0free,gamma,p0free,0,1,40,1000,0.998195,0.0313648,0.000997847,0.000705942,1
main_p0free,gamma,p0free,1,1,1,1000,1.1338,0.148138,0.00480372,0.00339853,1
main_p0free,gamma,p0free,1,1,3,1000,1.04042,0.102251,0.00326796,0.00231198,1
main_p0free,gamma,p0free,1,1,5,1000,1.01959,0.0767057,0.00255625,0.00148378,1
main_p0free,gamma,p0free,1,1,7,1000,1.0094,0.0705782,0.00224767,0.00159015,1
main_p0free,gamma,p0free,1,1,9,1000,1.00841,0.0608444,0.0019446,0.00137574,1
