particle,function,weighting,E_beam_GeV,resolution_pct,bias
gamma,linear,equal,0.100,5.2363,0.8113
gamma,linear,equal,0.300,17.2636,0.9656
gamma,linear,equal,0.500,18.4381,1.0204
gamma,linear,equal,0.700,14.5654,1.0277
gamma,linear,equal,0.900,13.9764,1.0192
gamma,linear,equal,1.000,14.3179,1.0280
gamma,linear,equal,3.000,10.4694,1.0143
gamma,linear,equal,5.000,8.0408,1.0093
gamma,linear,equal,7.000,7.0195,1.0031
gamma,linear,equal,9.000,6.5346,1.0051
gamma,linear,equal,10.000,6.2569,0.9990
gamma,linear,equal,20.000,4.0754,0.9940
gamma,linear,equal,30.000,3.7884,0.9955
gamma,linear,equal,40.000,3.2352,0.9971
gamma,linear,sqrt,0.100,5.9741,1.0405
gamma,linear,sqrt,0.300,17.0873,1.0475
gamma,linear,sqrt,0.500,18.3934,1.0718
gamma,linear,sqrt,0.700,14.6374,1.0647
gamma,linear,sqrt,0.900,13.8041,1.0472
gamma,linear,sqrt,1.000,14.6460,1.0546
gamma,linear,sqrt,3.000,10.5115,1.0239
gamma,linear,sqrt,5.000,8.0401,1.0154
gamma,linear,sqrt,7.000,6.9938,1.0070
gamma,linear,sqrt,9.000,6.5596,1.0083
gamma,linear,sqrt,10.000,6.2556,1.0020
gamma,linear,sqrt,20.000,4.0894,0.9954
gamma,linear,sqrt,30.000,3.8257,0.9961
gamma,linear,sqrt,40.000,3.2252,0.9973
gamma,ratio,equal,0.100,3.8251,1.0604
gamma,ratio,equal,0.300,15.5274,1.0439
gamma,ratio,equal,0.500,16.9476,1.0648
gamma,ratio,equal,0.700,14.4380,1.0535
gamma,ratio,equal,0.900,14.1626,1.0330
gamma,ratio,equal,1.000,14.4388,1.0402
gamma,ratio,equal,3.000,10.5956,1.0142
gamma,ratio,equal,5.000,8.0638,1.0079
gamma,ratio,equal,7.000,7.0337,1.0013
gamma,ratio,equal,9.000,6.5564,1.0035
gamma,ratio,equal,10.000,6.2452,0.9977
gamma,ratio,equal,20.000,4.1264,0.9935
gamma,ratio,equal,30.000,3.8178,0.9957
gamma,ratio,equal,40.000,3.2432,0.9974
gamma,ratio,sqrt,0.100,6.6845,1.7311
gamma,ratio,sqrt,0.300,15.3450,1.2766
gamma,ratio,sqrt,0.500,16.5961,1.2001
gamma,ratio,sqrt,0.700,14.9780,1.1459
gamma,ratio,sqrt,0.900,15.4206,1.1113
gamma,ratio,sqrt,1.000,14.6230,1.1042
gamma,ratio,sqrt,3.000,10.6430,1.0325
gamma,ratio,sqrt,5.000,8.1920,1.0166
gamma,ratio,sqrt,7.000,7.1909,1.0064
gamma,ratio,sqrt,9.000,6.5858,1.0071
gamma,ratio,sqrt,10.000,6.3251,1.0006
gamma,ratio,sqrt,20.000,4.1519,0.9942
gamma,ratio,sqrt,30.000,3.8037,0.9960
gamma,ratio,sqrt,40.000,3.2373,0.9977
gamma,quadratic,equal,0.100,0.1652,31.9349
gamma,quadratic,equal,0.300,0.9166,10.6757
gamma,quadratic,equal,0.500,2.2592,6.4271
gamma,quadratic,equal,0.700,2.8890,4.6120
gamma,quadratic,equal,0.900,3.4391,3.6065
gamma,quadratic,equal,1.000,3.4059,3.2549
gamma,quadratic,equal,3.000,1.7585,1.1433
gamma,quadratic,equal,5.000,2.5670,0.7699
gamma,quadratic,equal,7.000,3.6425,0.6416
gamma,quadratic,equal,9.000,3.6678,0.5890
gamma,quadratic,equal,10.000,2.9942,0.5620
gamma,quadratic,equal,20.000,4.7006,0.6433
gamma,quadratic,equal,30.000,5.7784,0.8279
gamma,quadratic,equal,40.000,7.7091,1.0445
gamma,quadratic,sqrt,0.100,0.1370,59.7430
gamma,quadratic,sqrt,0.300,0.7762,19.9404
gamma,quadratic,sqrt,0.500,1.8983,11.9827
gamma,quadratic,sqrt,0.700,2.4318,8.5771
gamma,quadratic,sqrt,0.900,2.8903,6.6878
gamma,quadratic,sqrt,1.000,2.8522,6.0267
gamma,quadratic,sqrt,3.000,1.6403,2.0629
gamma,quadratic,sqrt,5.000,2.3402,1.3134
gamma,quadratic,sqrt,7.000,3.2574,1.0200
gamma,quadratic,sqrt,9.000,3.1606,0.8723
gamma,quadratic,sqrt,10.000,3.0463,0.8193
gamma,quadratic,sqrt,20.000,4.0259,0.7291
gamma,quadratic,sqrt,30.000,4.9244,0.8421
gamma,quadratic,sqrt,40.000,6.6677,1.0103
