particle,function,weighting,E_beam_GeV,resolution_pct,bias
neutron,linear,equal,10.000,12.9730,2.7551
neutron,linear,equal,20.000,10.7548,1.8315
neutron,linear,equal,50.000,7.0927,1.3400
neutron,linear,equal,150.000,4.5888,1.1174
neutron,linear,equal,200.000,4.7487,1.0860
neutron,linear,equal,300.000,4.2885,1.0592
neutron,linear,sqrt,10.000,11.7848,5.1393
neutron,linear,sqrt,20.000,10.0674,2.9720
neutron,linear,sqrt,50.000,6.2819,1.7324
neutron,linear,sqrt,150.000,4.4664,1.1720
neutron,linear,sqrt,200.000,4.4317,1.1022
neutron,linear,sqrt,300.000,3.8446,1.0353
neutron,ratio,equal,10.000,20.4908,3.0290
neutron,ratio,equal,20.000,27.9101,1.7985
neutron,ratio,equal,50.000,13.1195,1.3204
neutron,ratio,equal,150.000,5.7499,1.1076
neutron,ratio,equal,200.000,4.8809,1.0862
neutron,ratio,equal,300.000,4.4359,1.0541
neutron,ratio,sqrt,10.000,20.2394,5.5550
neutron,ratio,sqrt,20.000,37.8434,2.9358
neutron,ratio,sqrt,50.000,7.5620,1.7966
neutron,ratio,sqrt,150.000,6.0438,1.1631
neutron,ratio,sqrt,200.000,4.7767,1.1026
neutron,ratio,sqrt,300.000,4.2179,1.0271
neutron,quadratic,equal,10.000,0.7343,5.7143
neutron,quadratic,equal,20.000,1.0756,2.8941
neutron,quadratic,equal,50.000,2.2788,1.2826
neutron,quadratic,equal,150.000,5.0909,0.8473
neutron,quadratic,equal,200.000,6.4988,0.9211
neutron,quadratic,equal,300.000,9.3400,1.1455
neutron,quadratic,sqrt,10.000,0.5952,9.3487
neutron,quadratic,sqrt,20.000,0.8695,4.7042
neutron,quadratic,sqrt,50.000,2.1191,1.9805
neutron,quadratic,sqrt,150.000,4.1657,0.9992
neutron,quadratic,sqrt,200.000,5.3371,0.9816
neutron,quadratic,sqrt,300.000,7.8750,1.0832
