particle,E_beam_GeV,sigma_x_mm,sigma_y_mm,bias_x_mm,bias_y_mm,n_events
gamma,0.100,34.2759,32.3835,1.5118,1.9188,184
gamma,10.000,3.5964,3.3534,-0.1232,-0.0198,1000
gamma,1.000,13.3401,13.2565,0.2085,0.0845,1000
gamma,20.000,2.6191,2.2989,-0.1516,-0.0799,1000
gamma,0.300,25.6208,25.6760,-1.2140,0.4832,721
gamma,30.000,2.5081,2.1240,-0.1286,0.0052,1000
gamma,3.000,6.6329,6.2403,0.1431,-0.2645,1000
gamma,40.000,2.2549,1.9090,-0.0663,0.1319,1000
gamma,0.500,18.5266,19.8303,-1.6526,-1.5842,923
gamma,5.000,4.9434,4.8293,-0.1587,0.0988,1000
gamma,0.700,16.8412,15.3437,-0.1832,0.6026,980
gamma,7.000,4.1276,3.9499,-0.2167,0.2370,1000
gamma,0.900,14.5791,13.1740,0.2507,0.1867,999
gamma,9.000,3.7026,3.4319,-0.0601,0.0458,1000
